customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,comments,Offers
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,"With a short-term plan, Customer 0 has spent 29.85 and is satisfied.","Auto-Pay Incentive: $5/month discount for switching to auto-pay, Premium Security Package: 3 months free Online Security/Tech Support, Low Tenure Retention: 15% discount for 3 months, Low Engagement Offer: Free trials for Tech Support/Device Protection"
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,"Despite spending 56.95 monthly, Customer 1 might look for alternative plans.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,"Customer 2 pays 53.85 monthly, showing commitment in their short-term plan.","Auto-Pay Incentive: $5/month discount for switching to auto-pay, High Churn Risk: Loyalty bonuses or priority customer support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Unlimited Phone Plan: 50% discount on an additional line"
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,"Customer 3 pays 42.3 monthly, showing trust in their annual plan.","High Churn Risk: Loyalty bonuses or priority customer support, Auto-Pay Incentive: $5/month discount for switching to auto-pay, High Monthly Spender: Cashback or loyalty points"
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,"Customer 4 is on a short-term contract and has paid 151.65 so far, making them a valued customer.","Premium Security Package: 3 months free Online Security/Tech Support, Low Tenure Retention: 15% discount for 3 months, Low Engagement Offer: Free trials for Tech Support/Device Protection, High Monthly Spender: Cashback or loyalty points"
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,"Customer 5 has 820.5 in total charges, indicating they engaged.","High Monthly Spender: Cashback or loyalty points, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Premium Security Package: 3 months free Online Security/Tech Support, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,"With a short-term plan, Customer 6 has spent 1949.4 and is neutral.","Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points, Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract"
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,"With a short-term plan, Customer 7 has spent 301.9 and is satisfied.","Premium Security Package: 3 months free Online Security/Tech Support, Month-to-Month Offer: Free upgrade for switching to a 1-year contract, Auto-Pay Incentive: $5/month discount for switching to auto-pay"
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,"Despite spending 104.8 monthly, Customer 8 might look for alternative plans.","Premium Security Package: 3 months free Online Security/Tech Support, Auto-Pay Incentive: $5/month discount for switching to auto-pay, Long-Term Discount: 10-20% off for a 12-month contract, High Monthly Spender: Cashback or loyalty points"
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,"Customer 9 pays 56.15 monthly, showing commitment in their annual plan.","Premium Security Package: 3 months free Online Security/Tech Support, Unlimited Phone Plan: 50% discount on an additional line, Low Engagement Offer: Free trials for Tech Support/Device Protection"
